wikiStats|am

redirects|108
r|መለጠፊያ:Country data ክሪስማስ ደሴት|መለጠፊያ:Country data ክርስትማስ ደሴት
r|መለጠፊያ:Add|መለጠፊያ:MoveTest
r|መለጠፊያ:Country data ጣሊያን|መለጠፊያ:Country data ጣልያን
r|መለጠፊያ:ሹካ|መለጠፊያ:መንታ
r|መለጠፊያ:Side box|መለጠፊያ:የጎን ሳጥን
r|መለጠፊያ:Fidel|መለጠፊያ:ፊደል
r|መለጠፊያ:Country data COL|መለጠፊያ:Country data ኮሎምቢያ
r|መለጠፊያ:Npov|መለጠፊያ:POV
r|መለጠፊያ:Calc2|መለጠፊያ:Coor d
r|መለጠፊያ:Country data ፕወርቶ ሪኮ|መለጠፊያ:Country data ፕዌርቶ ሪኮ
r|መለጠፊያ:Country data JPN|መለጠፊያ:Country data ጃፓን
r|መለጠፊያ:Country data የኮሪያ ሪፐብሊክ|መለጠፊያ:Country data ደቡብ ኮሪያ
r|መለጠፊያ:NPOV|መለጠፊያ:POV
r|መለጠፊያ:Country data የሁንጋሪ መንግሥት|መለጠፊያ:Country data የሀንጋሪ መንግሥት
r|መለጠፊያ:ኦሺያኒያ ሰንደቅዓላማ|መለጠፊያ:የኦሺያኒያ ባንዲራዎች
r|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ መደብ ዲ|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ ምድብ ዲ
r|መለጠፊያ:Welcome|መለጠፊያ:ሰላምታ
r|መለጠፊያ:Merge|መለጠፊያ:ውሕደት
r|መለጠፊያ:የንጥረ ነገሮች ሰንጠረዥ|መለጠፊያ:የንጥረ ነገሮች ሠንጠረዥ
r|መለጠፊያ:ማጣቀሻ ያስፈልጋል|መለጠፊያ:ዋቢ ይፈልጋል
r|መለጠፊያ:Ns0|መለጠፊያ:Main other
r|መለጠፊያ:Stub|መለጠፊያ:መዋቅር
r|መለጠፊያ:ሀገር መረጃ|መለጠፊያ:የሀገር መረጃ
r|መለጠፊያ:Country data MEX|መለጠፊያ:Country data ሜክሲኮ
r|መለጠፊያ:Country data CHI|መለጠፊያ:Country data ቺሌ
r|መለጠፊያ:ትርጓሜ|መለጠፊያ:Comptrans
r|መለጠፊያ:Country data Ethiopia|መለጠፊያ:Country data ኢትዮጵያ
r|መለጠፊያ:Cities of Ethiopia|መለጠፊያ:የኢትዮጵያ ከተሞች
r|መለጠፊያ:Country data ናጎርኖ-ካራባቅ|መለጠፊያ:Country data አርጻኽ
r|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ መደብ ቢ|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ ምድብ ቢ
r|መለጠፊያ:Country data BRA|መለጠፊያ:Country data ብራዚል
r|መለጠፊያ:አሁጉሮች|መለጠፊያ:አህጉሮች
r|መለጠፊያ:እኳአ ጨርስ|መለጠፊያ:የእግር ኳስ ቡድን አባላት ጨርስ
r|መለጠፊያ:አጥፉኝ|መለጠፊያ:ለማጥፋት
r|መለጠፊያ:Country data ዩሩጓይ|መለጠፊያ:Country data ኡራጓይ
r|መለጠፊያ:Country data እስፓኝ|መለጠፊያ:Country data እስፓንያ
r|መለጠፊያ:Location map Eritrea|መለጠፊያ:Location map ኤርትራ
r|መለጠፊያ:Commons category|መለጠፊያ:Commonscat
r|መለጠፊያ:Country data POR|መለጠፊያ:Country data ፖርቱጋል
r|መለጠፊያ:Country data Faroe Islands|መለጠፊያ:Country data ፋሮ ደሴቶች
r|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ መደብ ኢ|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ ምድብ ኢ
r|መለጠፊያ:Country data NED|መለጠፊያ:Country data ኔዘርላንድስ
r|መለጠፊያ:Citation needed|መለጠፊያ:ዋቢ ይፈልጋል
r|መለጠፊያ:Country data URU|መለጠፊያ:Country data ኡራጓይ
r|መለጠፊያ:Listen|መለጠፊያ:ያዳምጡ
r|መለጠፊያ:መዋቅር-መልካምድር|መለጠፊያ:መዋቅር-መልክዐምድር
r|መለጠፊያ:Location map Mexico|መለጠፊያ:Location map ሜክሲኮ
r|መለጠፊያ:Doc|መለጠፊያ:አጠቃቀም
r|መለጠፊያ:እኳአ ጀምር|መለጠፊያ:የእግር ኳስ ቡድን አባላት ጀምር
r|መለጠፊያ:Refimprove|መለጠፊያ:ዋቢ ይሻሻል
r|መለጠፊያ:የሳጥን እግርጌ|መለጠፊያ:ሳጥን እግርጌ
r|መለጠፊያ:Country data SWE|መለጠፊያ:Country data ስዊድን
r|መለጠፊያ:Location map Croatia|መለጠፊያ:Location map ክሮኤሽያ
r|መለጠፊያ:ይጥቀሱ ድረ|መለጠፊያ:Cite web
r|መለጠፊያ:Country data FRA|መለጠፊያ:Country data ፈረንሣይ
r|መለጠፊያ:የየመካከለኛው አፍሪካ ሪፑብሊክ ባንዲራ|መለጠፊያ:የመካከለኛው አፍሪካ ሪፑብሊክ ባንዲራ
r|መለጠፊያ:Country data Kingdom of the Netherlands|መለጠፊያ:Country data የኔዘርላንድ ነገሥት መንግሥተ
r|መለጠፊያ:መዋቅር-ባህል|መለጠፊያ:መዋቅር-ባሕል
r|መለጠፊያ:Ambox|መለጠፊያ:መጣጥፍ መልዕክት
r|መለጠፊያ:በደቡብ አሜሪካ ባንዲራዎች|መለጠፊያ:የደቡብ አሜሪካ ባንዲራዎች
r|መለጠፊያ:Location map Ethiopia|መለጠፊያ:Location map ኢትዮጵያ
r|መለጠፊያ:Mesh2|መለጠፊያ:MeSH2
r|መለጠፊያ:SonsofNoah|መለጠፊያ:የኖህ ልጆች
r|መለጠፊያ:ታዋቂነት|መለጠፊያ:ዐውደምንባብ
r|መለጠፊያ:Documentation|መለጠፊያ:አጠቃቀም
r|መለጠፊያ:Country data ARG|መለጠፊያ:Country data አርጀንቲና
r|መለጠፊያ:ኣጠቃቀም|መለጠፊያ:አጠቃቀም
r|መለጠፊያ:Country data ፓላው|መለጠፊያ:Country data ፐላው
r|መለጠፊያ:Country data የሶቪዬት ሕብረት|መለጠፊያ:Country data ሶቪዬት ሕብረት
r|መለጠፊያ:Location map France|መለጠፊያ:Location map ፈረንሳይ
r|መለጠፊያ:Country data ITA|መለጠፊያ:Country data ጣልያን
r|መለጠፊያ:የኢትዮጵያ ቋንቋወች ዝርዝር|መለጠፊያ:የኢትዮጵያ ቋንቋዎች ዝርዝር
r|መለጠፊያ:ጅምር|መለጠፊያ:መዋቅር
r|መለጠፊያ:Country data ሊባኖን|መለጠፊያ:Country data ሊባኖስ
r|መለጠፊያ:Country data ክሮኤሺያ|መለጠፊያ:Country data ክሮኤሽያ
r|መለጠፊያ:Country data ፈረንሳይ|መለጠፊያ:Country data ፈረንሣይ
r|መለጠፊያ:Infobox settlement|መለጠፊያ:የቦታ መረጃ
r|መለጠፊያ:አገር መረጃ|መለጠፊያ:የሀገር መረጃ
r|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ መደብ ሲ|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ ምድብ ሲ
r|መለጠፊያ:Country data ምስራቅ ቲሞር|መለጠፊያ:Country data ምሥራቅ ቲሞር
r|መለጠፊያ:Country data Antigua and Barbuda|መለጠፊያ:Country data አንቲጋ እና ባርቡዳ
r|መለጠፊያ:ጎል|መለጠፊያ:Goal
r|መለጠፊያ:Country data ኢጣልያ|መለጠፊያ:Country data ጣልያን
r|መለጠፊያ:Country data ቱርክምኒስታን|መለጠፊያ:Country data ቱርክመኒስታን
r|መለጠፊያ:Dr|መለጠፊያ:ዘመን-ማስገኛ
r|መለጠፊያ:Country data ENG|መለጠፊያ:Country data እንግሊዝ
r|መለጠፊያ:Country data ስሎቬኒያ|መለጠፊያ:Country data ስሎቪኒያ
r|መለጠፊያ:Disambig|መለጠፊያ:መንታ
r|መለጠፊያ:Ifeq|መለጠፊያ:Ifequal
r|መለጠፊያ:Emergency-bot-shutoff|መለጠፊያ:EBS
r|መለጠፊያ:Country data ሁንጋሪ|መለጠፊያ:Country data ሀንጋሪ
r|መለጠፊያ:መዋቅር-ሰው|መለጠፊያ:መዋቅር-ሰዎች
r|መለጠፊያ:Country data ኪሪባቲ|መለጠፊያ:Country data ኪሪባስ
r|መለጠፊያ:Country data PAR|መለጠፊያ:Country data ፓራጓይ
r|መለጠፊያ:Delete|መለጠፊያ:ለማጥፋት
r|መለጠፊያ:Done|መለጠፊያ:ተደርጓል
r|መለጠፊያ:Country data ዩራጓይ|መለጠፊያ:Country data ኡራጓይ
r|መለጠፊያ:Country data TUR|መለጠፊያ:Country data ቱርክ
r|መለጠፊያ:Country data ESP|መለጠፊያ:Country data እስፓንያ
r|መለጠፊያ:Country data የኮሪያ ዴሞክራሲያዊ ሕዝባዊ ሪፐብሊክ|መለጠፊያ:Country data ሰሜን ኮሪያ
r|መለጠፊያ:Country data Åland|መለጠፊያ:Country data ኦላንድ ደሴቶች
r|መለጠፊያ:Location map ሜስፖጦምያ|መለጠፊያ:Location map መስጴጦምያ
r|መለጠፊያ:Country data GER|መለጠፊያ:Country data ጀርመን
r|መለጠፊያ:Country data Greenland|መለጠፊያ:Country data ግሪንላንድ
r|መለጠፊያ:ኮምፒዩተር ትርጓሜ|መለጠፊያ:Comptrans
r|መለጠፊያ:የአገር መረጃ|መለጠፊያ:የሀገር መረጃ
r|መለጠፊያ:ጉራጅ|መለጠፊያ:መዋቅር
r|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ መደብ ኤ|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ ምድብ ኤ

templates|63

template|መለጠፊያ:ሳጥን ራስጌ
count|3
properties|31
p|border-type|0
p|titleborder|0
p|padding-left|0
p|border|0
p|padding-top|0
p|SPAN|0
p|background|2
p|titlefont-size|0
p|noedit|0
p|border-width|0
p|titleforeground|0
p|padding-bottom|0
p|font-family|0
p|title-font-weight|0
p|EDIT|0
p|background-opacity|0
p|foreground|0
p|title-font-size|0
p|padding-right|0
p|viewpage|0
p|border-top|0
p|title-align|0
p|extra|0
p|TOC|0
p|padding|0
p|title|2
p|text-align|0
p|EDITLINK|0
p|titlebackground|2
p|top|0
p|font-size|0

template|መለጠፊያ:የሙዚቀኛ መረጃ
count|8
properties|9
p|የትውልድ_ስም|3
p|ስም|5
p|ዓይነት|4
p|የተወለዱት|3
p|የሽፋን_መግለጫ|4
p|የሥራ_ዘመን|0
p|አሳታሚ|0
p|ሽፋን|4
p|የሞቱት|1

template|መለጠፊያ:Taxobox
count|95
properties|148
p|range_map3|0
p|ordo_authority|1
p|species|76
p|subclassis_authority|0
p|subgenus_authority|0
p|image_width|88
p|synonyms|2
p|series|0
p|species_group_authority|0
p|trinomial3|0
p|binomial3|0
p|name|89
p|superordo_authority|0
p|binomial4|0
p|superregnum_authority|0
p|binomial_authority|17
p|zoosectio|1
p|tribus_authority|0
p|virus_group|0
p|magnordo_authority|0
p|subordo|3
p|superclassis_authority|0
p|range_map2|0
p|image|93
p|infraphylum|0
p|superdivisio_authority|0
p|domain|0
p|sectio|0
p|unranked_phylum_authority|0
p|subregnum_authority|0
p|tribus|1
p|microphylum|0
p|image2_caption|0
p|series_authority|0
p|divisio_authority|0
p|unranked_ordo|3
p|phylum_authority|0
p|unranked_regnum_authority|0
p|subdivision_ranks|6
p|range_map2_caption|0
p|nanophylum|0
p|domain_authority|0
p|genus2_authority|0
p|extinct|0
p|subtribus_authority|0
p|divisio|0
p|superfamilia_authority|0
p|supertribus_authority|0
p|range_map3_caption|0
p|unranked_ordo_authority|0
p|image2_width|0
p|magnordo|0
p|range_map_width|4
p|color|89
p|infraordo|1
p|subphylum|1
p|binomial2_authority|0
p|phylum|78
p|subdivisio|0
p|subregnum|0
p|parvordo_authority|0
p|diversity|0
p|range_map4_caption|0
p|genus2|0
p|zoosubsectio|0
p|trinomial_authority|0
p|superregnum|0
p|binomial4_authority|0
p|ordo|93
p|type_species_authority|0
p|range_map3_width|0
p|genus_authority|2
p|parvordo|0
p|genus|78
p|subfamilia|2
p|supertribus|0
p|unranked_classis|3
p|unranked_familia_authority|0
p|species_subgroup|0
p|subfamilia_authority|0
p|superphylum_authority|0
p|zoosubsectio_authority|0
p|subphylum_authority|0
p|fossil_range|1
p|superordo|0
p|familia|90
p|superclassis|1
p|status|11
p|subdivision|6
p|species_authority|0
p|trinomial4|0
p|superfamilia|2
p|superphylum|0
p|binomial2|0
p|image_caption|20
p|infraclassis|0
p|subspecies|0
p|binomial|42
p|trinomial4_authority|0
p|range_map_caption|7
p|unranked_phylum|0
p|alliance|0
p|subordo_authority|1
p|unranked_familia|0
p|zoodivisio_authority|0
p|infraphylum_authority|0
p|subspecies_authority|0
p|alliance_authority|0
p|category|0
p|infraclassis_authority|0
p|classis_authority|0
p|trinomial3_authority|0
p|species_complex|0
p|infraordo_authority|0
p|status_system|3
p|nanophylum_authority|0
p|sectio_authority|0
p|trinomial|0
p|image2|0
p|diversity_link|0
p|range_map4|0
p|subtribus|0
p|type_species|0
p|zoosectio_authority|0
p|unranked_regnum|0
p|subgenus|2
p|microphylum_authority|0
p|regnum_authority|0
p|status_ref|0
p|trinomial2|0
p|subdivisio_authority|0
p|range_map4_width|0
p|regnum|95
p|range_map2_width|0
p|subclassis|0
p|species_group|0
p|unranked_classis_authority|0
p|type_genus|0
p|familia_authority|4
p|type_genus_authority|0
p|species_subgroup_authority|0
p|binomial3_authority|0
p|range_map|48
p|zoodivisio|0
p|trinomial2_authority|0
p|superdivisio|0
p|classis|78
p|species_complex_authority|0

template|መለጠፊያ:Panorama
count|3
properties|7
p|image|3
p|align|1
p|height|3
p|dir|0
p|alt|2
p|caption|3
p|width|1

template|መለጠፊያ:የእግር ኳስ ቡድን አባል
count|4
properties|10
p|ጎሎች|1
p|ስም|3
p|ክለብ|3
p|ጨዋታዎች|3
p|ቁጥር|2
p|ሌላ_ስም|0
p|ቦታ|3
p|natvar|0
p|የትውልድ_ቀን|3
p|የክለብ_ሀገር|3

template|መለጠፊያ:Infobox
count|107
properties|434
p|label27|0
p|data66|0
p|class60|0
p|class37|0
p|data38|0
p|label31|0
p|label16|1
p|data73|0
p|header2|1
p|subheaderclass|0
p|data65|0
p|rowclass64|0
p|label46|0
p|class53|0
p|rowclass8|0
p|class71|0
p|class33|0
p|header69|0
p|rowclass75|0
p|label50|0
p|class22|0
p|data63|0
p|rowclass25|0
p|header56|0
p|data16|1
p|class48|0
p|italic title|0
p|header9|4
p|header62|0
p|rowclass50|0
p|rowclass22|0
p|name|0
p|caption2|0
p|class44|0
p|class26|0
p|rowclass33|0
p|header39|0
p|label42|0
p|class2|0
p|rowclass68|0
p|label61|0
p|label64|0
p|class15|0
p|label74|0
p|data7|63
p|rowclass3|0
p|rowclass79|0
p|rowclass11|0
p|label5|77
p|header45|0
p|class76|0
p|label1|6
p|data12|8
p|label53|0
p|header66|0
p|header72|0
p|class40|0
p|class68|0
p|header28|0
p|data1|25
p|rowclass18|0
p|data49|0
p|label56|0
p|class6|0
p|aboveclass|0
p|belowclass|0
p|header73|0
p|label80|0
p|data51|0
p|data23|2
p|class19|0
p|header17|0
p|data3|78
p|rowclass43|0
p|rowclass69|0
p|below|0
p|data56|0
p|label67|0
p|class57|0
p|class14|0
p|header41|0
p|label20|0
p|label38|0
p|header61|0
p|headerstyle|81
p|class79|0
p|header31|0
p|rowclass48|0
p|data34|1
p|label45|0
p|header23|0
p|float|0
p|label4|53
p|rowclass57|0
p|label73|0
p|header34|0
p|data45|0
p|image|75
p|header77|0
p|label13|2
p|data27|1
p|label34|0
p|data76|0
p|header12|5
p|rowclass46|0
p|rowclass29|0
p|rowclass58|0
p|class75|0
p|imagerowclass2|0
p|label24|0
p|rowclass54|0
p|subheader2|0
p|class64|0
p|label49|0
p|header80|0
p|class30|0
p|rowclass17|0
p|header5|1
p|rowclass12|0
p|header55|0
p|class47|0
p|belowstyle|0
p|rowclass53|0
p|rowclass28|0
p|rowclass23|0
p|class36|0
p|class41|0
p|label17|0
p|data72|0
p|label40|0
p|data59|0
p|label78|0
p|rowclass63|0
p|data11|13
p|rowclass7|0
p|label28|0
p|header11|5
p|data29|1
p|class72|0
p|rowclass34|0
p|label30|0
p|header76|0
p|data62|0
p|header44|0
p|class77|0
p|label52|0
p|label75|0
p|label62|0
p|data10|15
p|header29|0
p|rowclass42|0
p|rowclass4|0
p|header52|0
p|rowclass74|0
p|class1|0
p|label51|0
p|label6|70
p|data15|3
p|data40|0
p|class25|0
p|class54|0
p|data67|0
p|rowclass39|0
p|label63|0
p|class61|0
p|header65|0
p|label41|0
p|data30|1
p|label59|0
p|header40|0
p|header30|0
p|data26|0
p|data37|0
p|header18|1
p|rowclass49|0
p|above|101
p|data19|2
p|data44|0
p|imagestyle|0
p|rowclass59|0
p|rowclass38|0
p|class5|0
p|rowclass78|0
p|class80|0
p|class65|0
p|data32|1
p|label37|0
p|class29|0
p|class50|0
p|header51|0
p|label48|0
p|data2|82
p|header33|0
p|data21|2
p|imagerowclass1|0
p|header1|56
p|label23|0
p|data18|1
p|label12|4
p|class11|0
p|header6|1
p|data77|0
p|data22|1
p|class13|0
p|data33|1
p|rowclass60|0
p|label72|0
p|class24|0
p|data48|0
p|data55|0
p|rowclass71|0
p|label39|0
p|data43|0
p|titleclass|0
p|data52|0
p|header22|1
p|bodystyle|0
p|subheaderrowclass2|0
p|class18|0
p|rowclass30|0
p|child|0
p|data6|70
p|header58|0
p|header10|12
p|label66|0
p|label76|0
p|data9|30
p|class73|0
p|rowclass41|0
p|class9|0
p|rowclass16|0
p|rowclass73|0
p|label79|0
p|header48|0
p|data41|0
p|label7|60
p|class20|0
p|header47|0
p|label3|54
p|data54|0
p|data68|0
p|class62|0
p|header64|0
p|rowclass52|0
p|header70|0
p|header26|2
p|class42|0
p|label18|0
p|data71|0
p|data47|0
p|header37|0
p|class4|0
p|header75|0
p|rowclass62|0
p|rowclass27|0
p|rowclass80|0
p|header14|1
p|header19|0
p|rowclass1|0
p|label33|0
p|data58|0
p|class31|0
p|data61|0
p|class46|0
p|class55|0
p|label29|0
p|data36|0
p|class35|0
p|label44|0
p|label14|1
p|rowclass67|0
p|data75|0
p|header4|25
p|data78|0
p|data25|2
p|label36|0
p|header15|2
p|class17|0
p|datastyle|0
p|rowclass5|0
p|caption|9
p|class56|0
p|label26|0
p|data14|3
p|class66|0
p|label69|0
p|header50|0
p|class10|0
p|label11|6
p|class28|0
p|class51|0
p|data79|0
p|label47|0
p|rowclass31|0
p|header36|0
p|label58|0
p|class34|0
p|class39|0
p|label15|1
p|header54|0
p|header59|0
p|label22|0
p|label8|57
p|class12|0
p|data5|77
p|rowclass45|0
p|class23|0
p|rowclass37|0
p|class59|0
p|rowclass77|0
p|header43|0
p|rowclass56|0
p|header7|1
p|label55|0
p|header68|0
p|rowclass20|0
p|label71|0
p|header25|0
p|data64|0
p|class8|0
p|rowclass35|0
p|header79|0
p|rowclass66|0
p|header38|0
p|data80|0
p|bodyclass|1
p|class3|0
p|rowclass13|0
p|data53|0
p|header20|1
p|rowclass72|0
p|class21|0
p|rowclass26|0
p|data42|0
p|rowclass61|0
p|header57|0
p|class70|0
p|class32|0
p|rowclass24|0
p|rowclass70|0
p|header46|0
p|class52|0
p|image2|0
p|label60|0
p|label77|0
p|data20|1
p|data74|0
p|label9|24
p|header27|0
p|title|0
p|data17|2
p|header13|4
p|labelstyle|0
p|header63|0
p|data8|60
p|label43|0
p|rowclass32|0
p|label32|0
p|header3|0
p|rowclass15|0
p|label2|55
p|titlestyle|0
p|header74|0
p|header60|0
p|class45|0
p|data31|1
p|rowclass51|0
p|header71|0
p|rowclass21|0
p|data24|1
p|class43|0
p|rowclass2|0
p|label19|0
p|rowclass40|0
p|class67|0
p|data13|7
p|header67|0
p|class27|0
p|subheaderrowclass|0
p|class16|0
p|data4|55
p|header35|0
p|class78|0
p|label57|0
p|label68|0
p|data60|0
p|label25|0
p|rowclass10|0
p|header78|0
p|rowclass55|0
p|class49|0
p|label10|12
p|subheaderstyle|0
p|header8|12
p|rowclass14|0
p|header16|45
p|data28|1
p|abovestyle|100
p|data35|0
p|label70|0
p|rowclass6|0
p|rowclass44|0
p|rowclass19|0
p|class58|0
p|rowclass36|0
p|class7|0
p|data57|0
p|data46|0
p|rowclass76|0
p|decat|0
p|class63|0
p|header49|0
p|rowclass65|0
p|imageclass|0
p|header53|0
p|label35|0
p|data50|0
p|data69|0
p|label65|0
p|header21|0
p|class69|0
p|captionstyle|0
p|header24|1
p|class74|0
p|header42|0
p|label21|0
p|label54|0
p|rowclass9|0
p|header32|0
p|rowclass47|0
p|class38|0
p|subheader|0
p|data39|0
p|data70|0

template|መለጠፊያ:የሰንደቅ ዓላማ መረጃ
count|88
properties|7
p|የሀገር_ባንዲራ|87
p|የተፈጠረበት_ዓመት|84
p|ጥቅም|1
p|የቀለም_ድርድር|82
p|ኮድ|1
p|ምጥጥን|85
p|ሥዕል|87

template|መለጠፊያ:የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ ምድብ ዲ
count|2
properties|4
p|scenarios|0
p|ግጥሚያዎች|1
p|tiebreakers|0
p|የተስፋፋ|1

template|መለጠፊያ:የፖለቲካ ሰው መረጃ
count|90
properties|68
p|ምክትል_ፕሬዝዳንት3|1
p|ቀናት3|20
p|ፕሬዝዳንት3|7
p|ጋር5|0
p|ዜግነት|22
p|ተከታይ4|7
p|ጠቅላይ_ሚኒስትር3|6
p|ቀናት|49
p|ምክትል5|1
p|ማዕረግ|15
p|ፕሬዝዳንት|8
p|ስም|86
p|ጠቅላይ_ሚኒስትር4|3
p|ፕሬዝዳንት4|3
p|ስዕል|0
p|የተወለዱት|65
p|እናት|14
p|ጋር4|0
p|ቀዳሚ2|23
p|ቀዳሚ4|5
p|ምክትል4|1
p|ቢሮ5|9
p|ተከታይ2|28
p|ቢሮ2|42
p|ጦርነቶች|8
p|ሙያ|9
p|ጠቅላይ_ሚኒስትር2|4
p|ተከታይ3|10
p|ፊርማ|21
p|ሙሉ_ስም|7
p|ልጆች|24
p|ፓርቲ|36
p|ምክትል3|1
p|ምክትል_ፕሬዝዳንት5|0
p|ቢሮ|57
p|ቀዳሚ3|8
p|ቀዳሚ5|3
p|ትምህርት|18
p|ቢሮ3|21
p|የተቀበሩት|12
p|ምክትል_ፕሬዝዳንት2|1
p|ምክትል|5
p|አባት|15
p|ምክትል2|5
p|የስዕል_መግለጫ|16
p|ቀናት2|41
p|ጊዜ|4
p|ጠቅላይ_ሚኒስትር|21
p|ጋር|0
p|ምክትል_ፕሬዝዳንት|13
p|ቀናት5|9
p|ጋር2|0
p|ምክትል_ፕሬዝዳንት4|0
p|ሌላ_ስም|3
p|ጠቅላይ_ሚኒስትር5|2
p|ኃይል|3
p|ተከታይ|24
p|ተከታይ5|3
p|ፕሬዝዳንት2|11
p|ባለቤት|34
p|ቢሮ4|12
p|ቀዳሚ|38
p|ቀናት4|11
p|የሞቱት|13
p|የስዕል_ስፋት|0
p|ፕሬዝዳንት5|2
p|ሀይማኖት|32
p|ጋር3|0

template|መለጠፊያ:Infobox person
count|2
properties|102
p|footnotes|0
p|native_name|1
p|home_town|0
p|burial_place|0
p|mother|1
p|works|0
p|organisation|0
p|children|1
p|opponents|0
p|website|0
p|name|1
p|honours|0
p|criminal_charges|0
p|burial_coordinates|0
p|misc2|0
p|honorific prefix|0
p|disappeared_date|0
p|nocat_wdimage|0
p|influenced|0
p|callsign|0
p|4|0
p|misc5|0
p|monuments|0
p|other names|0
p|death_date|0
p|birth_place|1
p|style|0
p|image|1
p|birth_name|1
p|height_m|0
p|successor|0
p|alma mater|0
p|influences|0
p|death_place|0
p|native_name_lang|0
p|citizenship|0
p|spouse|0
p|residence|0
p|parents|1
p|criminal penalty|0
p|label_name|0
p|term|0
p|credits|0
p|office|0
p|employer|0
p|height|1
p|height_in|0
p|5|0
p|image size|0
p|signature|1
p|siglum|0
p|height_ft|0
p|misc6|0
p|net worth|1
p|agent|0
p|notable works|1
p|partner|0
p|television|0
p|judicial status|0
p|pronunciation|0
p|child|0
p|box_width|0
p|resting place coordinates|0
p|landscape|0
p|1|0
p|misc4|0
p|awards|0
p|education|1
p|party|0
p|image caption|1
p|alt|0
p|denomination|0
p|father|1
p|status|1
p|nationality|1
p|image_upright|1
p|misc|0
p|death cause|0
p|relations|0
p|2|0
p|ethnicity|0
p|known for|0
p|years active|0
p|signature_size|0
p|era|0
p|movement|0
p|honorific suffix|0
p|baptized|0
p|religion|0
p|occupation|0
p|misc3|0
p|family|0
p|3|0
p|birth_date|1
p|criminal status|0
p|signature alt|0
p|abovestyle|0
p|predecessor|0
p|resting place|1
p|disappeared_place|0
