wikiStats|hr

redirects|983
r|Predložak:Glazbeni žanr|Predložak:Infookvir glazbeni žanr
r|Predložak:Naselja grada Donja Stubica|Predložak:Donja Stubica
r|Predložak:Naselja u sastavu grada Pleternice|Predložak:Pleternica
r|Predložak:Naselja u sastavu Općine Brdovec|Predložak:Brdovec
r|Predložak:Kaz icon|Predložak:Kaz oznaka
r|Predložak:GN Vrbovec|Predložak:Vrbovec
r|Predložak:De icon|Predložak:Deu oznaka
r|Predložak:Sklopiva hokejaška kutija/doc|Predložak:Sklopiva hokejska kutija/doc
r|Predložak:Naselja u sastavu Općine Crnac|Predložak:Crnac
r|Predložak:Austrougarske zemlje|Predložak:Zemlje Austro-Ugarske Monarhije
r|Predložak:Infookvir Olimpijada|Predložak:Infookvir OI
r|Predložak:Naselja grada Klanjca|Predložak:Klanjec
r|Predložak:Naselja u sastavu Općine Končanica|Predložak:Končanica
r|Predložak:Gradska naselja Grada Dubrovnika|Predložak:Dubrovnik
r|Predložak:Grane Biologije|Predložak:Grane biologije
r|Predložak:Hrv icon|Predložak:Hrv oznaka
r|Predložak:Koncertna turneja|Predložak:Infookvir koncertna turneja
r|Predložak:Gradska naselja Iloka|Predložak:Ilok
r|Predložak:Citation needed|Predložak:Nedostaje izvor
r|Predložak:Mergefrom var|Predložak:Uklopi iz nekoliko
r|Predložak:Oceanija|Predložak:Australija i Oceanija
r|Predložak:Naselja u sastavu Općine Brestovac|Predložak:Brestovac
r|Predložak:Lat icon|Predložak:Lat oznaka
r|Predložak:Gradovi i okruzi u Gradišću|Predložak:Gradovi i kotari u Gradišću
r|Predložak:Filmski poster|Predložak:Filmski plakat
r|Predložak:Naselja u sastavu Općine Lobor|Predložak:Lobor
r|Predložak:Naselja u sastavu Općine Jagodnjak|Predložak:Jagodnjak
r|Predložak:Gradska naselja Lepoglave|Predložak:Lepoglava
r|Predložak:Sport u tijeku|Predložak:Športski događaj u tijeku
r|Predložak:Asteroid|Predložak:Infookvir asteroid
r|Predložak:Gradska naselja Samobora|Predložak:Samobor
r|Predložak:Sk icon|Predložak:Slk oznaka
r|Predložak:Sastav Švedska 2012 EP|Predložak:Sastav Švedska 2012. EP
r|Predložak:TYO|Predložak:Tyo
r|Predložak:Bolivijski departman|Predložak:Infookvir bolivijski departman
r|Predložak:Sezone FA Premier Lige|Predložak:Sezone FA Premier lige
r|Predložak:Likovni umjetnik|Predložak:Infookvir likovni umjetnik
r|Predložak:Bug|Predložak:Bul oznaka
r|Predložak:Modni događaj|Predložak:Infookvir modni događaj
r|Predložak:Naselja u sastavu Općine Čađavica|Predložak:Čađavica
r|Predložak:Naselja u sastavu Općine Vrsar|Predložak:Vrsar
r|Predložak:Aze icon|Predložak:Aze oznaka
r|Predložak:Spa icon|Predložak:Spa oznaka
r|Predložak:Književnici romantizma|Predložak:Romantistički književnici
r|Predložak:Naselja općine Lokvičići|Predložak:Lokvičići
r|Predložak:SSE|Predložak:Sse
r|Predložak:Nds icon|Predložak:Nds oznaka
r|Predložak:Slovenski grad|Predložak:Infookvir slovenski grad
r|Predložak:Pokrajina ili teritorij Kanade|Predložak:Infookvir pokrajina ili teritorij Kanade
r|Predložak:Naselja u sastavu Općine Punitovci|Predložak:Punitovci
r|Predložak:Bivša F1 momčad|Predložak:Infookvir bivša F1 momčad
r|Predložak:Hr icon|Predložak:Hrv oznaka
r|Predložak:Naselja u sastavu Općine Vinica|Predložak:Vinica
r|Predložak:Naselja u sastavu Općine Petrijanec|Predložak:Petrijanec
r|Predložak:Trener/izbornik/igrač|Predložak:Infookvir nogometaš/trener/izbornik
r|Predložak:Francuska općina|Predložak:Infookvir francuska općina
